feature,fold_1,fold_2,fold_3,fold_4,fold_5,mean_imp,std_imp,pos_ratio
hd_heading_entropy,0.0001704639337095637,0.0004964470360500073,4.770342419069262e-05,-4.028951674617254e-06,0.00046731244244935244,0.00023557957694499975,0.00023382776510165733,0.8
rv_acc_mean,0.0001826494165684256,0.0004834236057458252,0.0001413925905866531,0.00014748820244947503,0.00022052908887149059,0.00023509658084437391,0.00014237704688131544,1.0
rv_range,-1.130534882853862e-05,0.0004214827167677848,0.0003485956442230709,5.068831796684048e-05,0.0003618842607462369,0.00023426911817507888,0.00019900618063197056,0.8
hd_net_turn,0.000214959953374394,-1.5925578938924545e-05,0.0005787734196031069,0.0003236134128857815,5.727802891519751e-05,0.00023173984716791108,0.00023501580086629026,0.8
tortuosity_speed_ratio,0.0003044839907117014,2.3667289575368677e-05,0.00046926960426429964,0.00022130508693307682,0.0001196205740281453,0.00022766930910251838,0.00017146650866796818,1.0
bearing_change_rate,0.00047107873802665345,0.00015398099297703194,0.000242357076149613,0.00020982036983552277,5.091976839510792e-05,0.00022563138907678583,0.00015526756559765948,1.0
ix_vertical_horizontal_std_ratio,0.0006537726109077102,-5.101264940199357e-05,0.00032517407615695326,0.00014475582795592246,4.944379722537917e-05,0.00022442673256879432,0.0002771828116651384,0.8
turn_rate_cv,0.00029222949729723613,-0.0002606678874267354,0.00014677510324423437,0.000548050474350803,0.00036103071499549166,0.00021748358049220596,0.000303766241642408,0.8
ix_path_efficiency,0.0001241168485933697,0.00027594032929811885,0.0003131164610655768,0.00032313872709777147,4.197573693787149e-05,0.00021565762059854164,0.00012572741194629883,1.0
bearing_change_p90,0.0001204087085687755,0.0001778580185386458,0.0005351112467703034,0.00012164225406241513,9.778346082256473e-05,0.0002105607377525409,0.0001838172326300732,1.0
ix_turn_stability_invstd,0.00011069489506132513,-7.041694880305371e-06,0.00032821532857374436,0.0005512485411350854,3.603793134343558e-05,0.00020383100024665702,0.0002331665448030156,0.8
tortuosity,0.00047386359796508515,-7.054514098214781e-06,0.000290286367396253,0.0002595214419625069,-3.041517404422933e-05,0.0001972403438362802,0.0002136705093180032,0.6
ix_path_length_log,0.0003767921911573824,7.549251506211441e-05,0.00020931034805904414,0.00030225106464087936,-2.8796442062106742e-05,0.0001870099353714627,0.00016492699783993156,0.8
turn_rate_std,6.537127919648e-05,0.00016962952593624347,0.00040033695052421603,0.00016493547040152823,0.00012756081821341247,0.00018556680885437605,0.00012709988509636172,1.0
alt_iqr,0.00031511231625802605,9.730762779536217e-05,0.00017552565043332802,0.00012923013897037094,0.00019062247353451856,0.00018155964139832115,8.335412340728351e-05,1.0
hd_turn_efficiency,0.00020505812275284363,-2.2428739270607956e-05,0.00013238521648128998,0.0004922897187802366,9.368322582092858e-05,0.00018019750891293818,0.000192903946641706,0.8
hd_heading_mode_ratio,0.00022888980185631347,0.0001689934233337631,0.0003785330632452011,9.969032251921917e-05,-7.91720360482362e-06,0.00017363788146993465,0.00014447047414935094,0.8
acc_energy_xy_max,3.946534789900369e-05,3.2071836912894724e-05,0.0006313538566363741,0.00012706870241729895,2.3698782286585285e-06,0.000166465924418846,0.0002640034849159713,1.0
ix_bbox_fill_ratio,0.00011942511939799783,0.00035501683880168056,-6.415512078261632e-05,0.00016401123032439013,0.0002475112639402921,0.00016436186633634887,0.00015612702234126433,0.8
heading_entropy,0.00029349749344964593,4.2265209487135635e-05,3.407785078579639e-05,3.093693370814776e-05,0.000401523009974758,0.00016046009948109675,0.00017502073469122882,1.0
alt_range,-0.00013461717682461405,0.00020414417698422227,0.00018960667156175948,9.692719396681149e-05,0.0003514188835604948,0.00014149594984973478,0.0001792567381769197,0.8
